pm_id,store,city,unit_serial,pm_date,signed,contact,n_photos,plate_reads,status,action
410,Bel-Air #501,Sacramento,10148895,2026-07-15,tech+store,yes,2,10148895,VERIFIED,none
411,Save Mart #622,Sacramento,10874906,2026-07-15,tech+store,no,1,313084,"WRONG PLATE, unit undocumented",camera-roll recovery or re-shoot
412,Save Mart #622,Sacramento,10911486,2026-07-15,tech+store,no,0,-,NO PHOTOS,camera-roll recovery or re-shoot
413,Petco #1343,Sacramento,313084,2026-07-15,tech+store,yes,2,313084,VERIFIED,none
414,Petco #1343,Sacramento,226512,2026-07-15,tech+store,yes,2,226507,SWAPPED WITH SIBLING,plate on sibling report #415 — reissue from file
415,Petco #1343,Sacramento,226507,2026-07-15,tech+store,yes,2,226512,SWAPPED WITH SIBLING,plate on sibling report #414 — reissue from file
416,Petco #1343,Sacramento,20125900000422,2026-07-15,tech+store,no,2,10157996,"WRONG PLATE, unit undocumented",camera-roll recovery or re-shoot
417,Incredible Pets #24012404,Sacramento,6674060,2026-07-15,tech+store,no,1,-,SITE EXCEPTION,withdraw as PM; storefront photo documents the visit
418,Comptons Market #14696,Sacramento,411412301019,2026-07-15,tech+store,no,1,-,SITE EXCEPTION,withdraw as PM; storefront photo documents the visit
419,Walmart US #5982,Sacramento,M125962,2026-07-15,tech+store,yes,2,M125962,VERIFIED,none
420,Raley's #416,Sacramento,9318060,2026-07-15,tech+store,yes,2,9318060,VERIFIED,none
421,Target #311,Sacramento,10633828,2026-07-15,tech+store,yes,3,10633828,VERIFIED,none
422,Walmart US #5192,Sacramento,9627102,2026-07-15,tech+store,yes,2,10162233,PLATE≠ASSET LIST (unique shot — likely list error),confirm serial with Freshpet / on site
423,Safeway #2263,Sacramento,310797,2026-07-15,tech+store,yes,2,10157996,"WRONG PLATE, unit undocumented",camera-roll recovery or re-shoot
424,Food Maxx #453,Bakersfield,11008872,2026-07-20,tech+store,yes,1,11008876,MISFILED CROSS-STORE,plate on #425 (Vons #1969) — reissue from file
425,Vons #1969,Bakersfield,294053,2026-07-20,tech+store,yes,1,11008872,"WRONG PLATE, unit undocumented",camera-roll recovery or re-shoot
426,Lassens #04,Bakersfield,9404671,2026-07-20,tech+store,yes,2,9404671,VERIFIED,none
427,Costco #688,Bakersfield,10271100,2026-07-20,tech+store,yes,2,10271100,VERIFIED,none
428,Albertsons #3172,Bakersfield,10671477,2026-07-20,tech+store,yes,2,10671477,VERIFIED,none
429,Albertsons #377,Bakersfield,10663625,2026-07-20,tech+store,yes,0,-,NO PHOTOS,camera-roll recovery or re-shoot
430,Albertsons #377,Bakersfield,10671487,2026-07-20,tech+store,yes,1,11008876,"WRONG PLATE, unit undocumented",camera-roll recovery or re-shoot
431,Walmart US #1624,Bakersfield,9267058,2026-07-20,tech+store,yes,2,11351592/9267058,VERIFIED,prune stray extra image
432,Albertsons #336,Bakersfield,9325680,2026-07-20,tech+store,yes,2,10671481,SWAPPED WITH SIBLING,plate on sibling report #433 — reissue from file
433,Albertsons #336,Bakersfield,10671481,2026-07-20,tech+store,yes,2,9325680,SWAPPED WITH SIBLING,plate on sibling report #432 — reissue from file
434,Target #2524,Bakersfield,9632927,2026-07-20,tech+store,yes,2,11008872/11008876,"WRONG PLATE, unit undocumented",camera-roll recovery or re-shoot
435,PetSmart US #86,Bakersfield,246365,2026-07-20,tech+store,yes,2,278045,SWAPPED WITH SIBLING,plate on sibling report #436 — reissue from file
