tier,store,address,visit_date,units_listed_by_freshpet,evidence,signature,report_id,plate_read_not_on_list,status
A - paper field form on file,Walmart US #5632,"1804 E Ashlan Ave, Fresno CA",2026-07-22,1,"technician note: ""(2) assets at this location, NOT 1""",MANAGER SIGN line marked,494,,"UNDERCOUNT - list carries 1, form says 2"
A - paper field form on file,Walmart US #1972,Livermore CA,2026-07-30,1,"technician note: ""(2) assets here not (1) - Verified by manager""",Printed + signed: Andrea Lopez,582,,"UNDERCOUNT - list carries 1, form says 2"
A - paper field form on file,Walmart US #2001,"5125 E Kings Canyon Rd, Fresno CA",(no date on form),1,"technician note: ""2 units there not 1 - showing on program""","none - field note, not a service record",483,,"UNDERCOUNT - list carries 1, form says 2"
A - paper field form on file,Walmart US #3046,Modesto CA,2026-07-30,2,"technician note: ""2 units at this location (not 1)""",store contact signed,579,,MATCHES - list already carries both units
A - paper field form on file,Save Mart #95,"3601 Pelandale, Modesto CA",2026-07-29,2,"technician note: ""(2) units not (1)""",store manager signed,568,,MATCHES - list already carries both units
B - plate photo shows a serial not on the list (single-unit store),Bel-Air #510,,2026-06-11,1,reported unit 9330809; plate photographed reads 933080,,238,933080,LIKELY UNDERCOUNT - confirm with Freshpet
B - plate photo shows a serial not on the list (single-unit store),Concord Feed #116254,,2026-06-15,1,reported unit 4593836; plate photographed reads 14593836,,99,14593836,LIKELY UNDERCOUNT - confirm with Freshpet
B - plate photo shows a serial not on the list (single-unit store),Costco #1674,,2026-06-26,1,reported unit 10779205; plate photographed reads M2502890,,244,M2502890,LIKELY UNDERCOUNT - confirm with Freshpet
B - plate photo shows a serial not on the list (single-unit store),Costco #464,,2026-06-25,1,reported unit 317018; plate photographed reads M2503090,,213,M2503090,LIKELY UNDERCOUNT - confirm with Freshpet
B - plate photo shows a serial not on the list (single-unit store),Costco #471,,2026-06-26,1,reported unit 10702117; plate photographed reads M2502950,,256,M2502950,LIKELY UNDERCOUNT - confirm with Freshpet
B - plate photo shows a serial not on the list (single-unit store),Pet Club #M70,,2026-06-14,1,reported unit 4815221; plate photographed reads 7329088,,71,7329088,LIKELY UNDERCOUNT - confirm with Freshpet
B - plate photo shows a serial not on the list (single-unit store),Sam's Club #6612,,2026-06-15,1,reported unit M158115; plate photographed reads M158116,,112,M158116,LIKELY UNDERCOUNT - confirm with Freshpet
B - plate photo shows a serial not on the list (single-unit store),Walmart US #2697,,2026-06-16,1,reported unit 300026; plate photographed reads 987,,142,987,LIKELY UNDERCOUNT - confirm with Freshpet
B - plate photo shows a serial not on the list (single-unit store),Walmart US #5435,,2026-06-13,1,reported unit 7033449; plate photographed reads 10555907,,54,10555907,LIKELY UNDERCOUNT - confirm with Freshpet
B - plate photo shows a serial not on the list (single-unit store),Cost Less Foods #13952,,2026-07-29,1,reported unit 10588791; plate photographed reads 10878244,,561,10878244,LIKELY UNDERCOUNT - confirm with Freshpet
